         |ModBus| Index    | Name      | ATTR        | Type        |
| 1    | Ox0400   | 100000    | 设备型号    | R    | Unsigned32    |
| 2    | Ox0700   | 200000    | 上电自便能    | RWL    | Unsigned8    |
| 3    | Ox0810   | 201001    | Din极性    | RWSL    | Unsigned16    |
| 4    | Ox0820   | 201002    | Din仿真    | RWL    | Unsigned16    |
| 5    | Ox0830   | 201003    | Din1功能    | RWSL    | Unsigned16    |
| 6    | Ox0840   | 201004    | Din2功能    | RWSL    | Unsigned16    |
| 7    | Ox0850   | 201005    | Din3功能    | RWSL    | Unsigned16    |
| 8    | Ox0860   | 201006    | Din4功能    | RWSL    | Unsigned16    |
| 9    | Ox0870   | 201007    | Din5功能    | RWSL    | Unsigned16    |
| 10   | Ox0880   | 201008    | Din6功能    | RWSL    | Unsigned16    |
| 11   | Ox0890   | 201009    | Din7功能    | RWSL    | Unsigned16    |
| 12   | Ox08A0   | 20100A    | Din实际输入    | RLTM    | Unsigned16    |
| 13   | Ox08B0   | 20100B    | Din有效输入    | RLT    | Unsigned16    |
| 14   | Ox08C0   | 20100C    | Din系统输入    | RLT    | Unsigned16    |
| 15   | Ox08D0   | 20100D    | Dout极性    | RWSLTM    | Unsigned16    |
| 16   | Ox08E0   | 20100E    | Dout仿真    | RWLM    | Unsigned16    |
| 17   | Ox08F0   | 20100F    | Dout1功能    | RWSL    | Unsigned16    |
| 18   | Ox0900   | 201010    | Dout2功能    | RWSL    | Unsigned16    |
| 19   | Ox0910   | 201011    | Dout3功能    | RWSL    | Unsigned16    |
| 20   | Ox0920   | 201012    | Dout4功能    | RWSL    | Unsigned16    |
| 21   | Ox0930   | 201013    | Dout5功能    | RWSL    | Unsigned16    |
| 22   | Ox0940   | 201014    | Dout有效    | RLTM    | Unsigned16    |
| 23   | Ox0950   | 201015    | Dout状态    | RLT    | Unsigned16    |
| 24   | Ox0960   | 201016    | Dout系统状态    | RLT    | Unsigned16    |
| 25   | Ox0970   | 201017    | 指令激活滤波    | RWSL    | Unsigned16    |
| 26   | Ox0980   | 201018    | 零速度窗口    | RWSL    | Unsigned16    |
| 27   | Ox0990   | 201019    | 限位功能定义    | RWSL    | Unsigned8    |
| 28   | Ox09A0   | 20101A    | 系统预留    | RD    | Unsigned16    |
| 29   | Ox09B0   | 20101B    | 正限位位置    | RLT    | Integer32    |
| 30   | Ox09C0   | 20101C    | 负限位位置    | RLT    | Integer32    |
| 31   | Ox09D0   | 20101D    | Din8功能    | RWSL    | Unsigned16    |
| 32   | Ox09E0   | 20101E    | Dout6功能    | RWSL    | Unsigned16    |
| 33   | Ox09F0   | 20101F    | Dout7功能    | RWSL    | Unsigned16    |
| 34   | Ox0A00   | 20102O    | 上升沿捕捉状态1    | RWLTM    | Unsigned8    |
| 35   | Ox0A10   | 201021    | 下降沿捕捉状态1    | RWLTM    | Unsigned8    |
| 36   | Ox0A20   | 201022    | 上升沿捕捉状态2    | RWLTM    | Unsigned8    |
| 37   | Ox0A30   | 201023    | 下降沿捕捉状态2    | RWLTM    | Unsigned8    |
      | ModBus    | Index    | Name    | ATTR    | Type    |
| 38 | Ox0A40   | 201024 | 上升沿位置1    | RLM    | Integer32 |
| 39 | Ox0A50   | 201025 | 下降沿位置1    | RLM    | Integer32 |
| 40 | Ox0A60   | 201026 | 上升沿位置2    | RLM    | Integer32 |
| 41 | Ox0A70   | 201027 | 下降沿位置2    | RLM    | Integer32 |
| 42 | Ox0C10   | 202001 | Din位置0    | RWSL    | Integer32 |
| 43 | Ox0C20   | 202002 | Din位置1    | RWSL    | Integer32 |
| 44 | Ox0C30   | 202003 | Din位置2    | RWSL    | Integer32 |
| 45 | Ox0C40   | 202004 | Din位置3    | RWSL    | Integer32 |
| 46 | Ox0C50   | 202005 | Din速度0    | RWSL    | Integer32 |
| 47 | Ox0C60   | 202006 | Din速度1    | RWSL    | Integer32 |
| 48 | Ox0C70   | 202007 | Din速度2    | RWSL    | Integer32 |
| 49 | Ox0C80   | 202008 | Din速度3    | RWSL    | Integer32 |
| 50 | Ox0C90   | 202009 | Din速度0[rpm]    | RWL    | Integer16 |
| 51 | Ox0CA0   | 20200A | Din速度1[rpm]    | RWL    | Integer16 |
| 52 | Ox0CB0   | 20200B | Din速度2[rpm]    | RWL    | Integer16 |
| 53 | Ox0CC0   | 20200C | Din速度3[rpm]    | RWL    | Integer16 |
| 54 | Ox0CD0   | 20200D | 工作模式选择0    | RWSL    | Integer8 |
| 55 | Ox0CE0   | 20200E | 工作模式选择1    | RWSL    | Integer8 |
| 56 | Ox0CF0   | 20200F | Din控制字选择    | RWSL    | Unsigned16 |
| 57 | Ox0D00   | 202010 | Din位置4    | RWSL    | Integer32 |
| 58 | Ox0D10   | 202011 | Din位置5    | RWSL    | Integer32 |
| 59 | Ox0D20   | 202012 | Din位置6    | RWSL    | Integer32 |
| 60 | Ox0D30   | 202013 | Din位置7    | RWSL    | Integer32 |
| 61 | Ox0D40   | 202014 | Din速度4    | RWSL    | Integer32 |
| 62 | Ox0D50   | 202015 | Din速度5    | RWSL    | Integer32 |
| 63 | Ox0D60   | 202016 | Din速度6    | RWSL    | Integer32 |
| 64 | Ox0D70   | 202017 | Din速度7    | RWSL    | Integer32 |
| 65 | Ox0D80   | 202018 | Din速度4[rpm]    | RWL    | Integer16 |
| 66 | Ox0D90   | 202019 | Din速度5[rpm]    | RWL    | Integer16 |
| 67 | Ox0DA0   | 20201A | Din速度6[rpm]    | RWL    | Integer16 |
| 68 | Ox0DB0   | 20201B | Din速度7[rpm]    | RWL    | Integer16 |
| 69 | Ox1210   | 231001 | 自动翻转正比终点    | RWL    | Integer32 |
| 70 | Ox1220   | 231002 | 自动翻转负比终点    | RWL    | Integer32 |
| 71 | Ox1230   | 231003 | 自动翻转模式    | RWL    | Unsigned8 |
| 72 | Ox1240   | 231004 | 暂停时间    | RWL    | Unsigned16 |
| 73 | Ox1410   | 234001 | 步进停止模式    | RWSL    | Unsigned8 |
| 74 | Ox1420   | 234002 | 步进停止电流    | RWSL    | Integer16 |
		| ModBus    | Index    | Name    | ATTR    | Type    |
| 75   | Ox1430    | 234003    | 编码器输出选择    | RWSL    | Unsigned8    |
| 76   | Ox1440    | 234004    | 速度环比例增益[1]    | RWS    | Unsigned16    |
| 77   | Ox1450    | 234005    | 速度环积分增益[1]    | RWS    | Unsigned16    |
| 78   | Ox1460    | 234006    | 位置环比例增益[1]    | RWS    | Unsigned16    |
| 79   | Ox1470    | 234007    | 速度环比例增益[2]    | RWS    | Unsigned16    |
| 80   | Ox1480    | 234008    | 速度环积分增益[2]    | RWS    | Unsigned16    |
| 81   | Ox1490    | 234009    | 位置环比例增益[2]    | RWS    | Unsigned16    |
| 82   | Ox1490    | 234004    | 速度环比例增益[3]    | RWS    | Unsigned16    |
| 83   | Ox1480    | 234008    | 速度环积分增益[3]    | RWS    | Unsigned16    |
| 84   | Ox1400    | 234000    | 位置环比例增益[3]    | RWS    | Unsigned16    |
| 85   | Ox1400    | 234000    | Keba    | RWS    | Unsigned8    |
| 86   | Ox1450    | 234002    | 编码器多圈禁止    | RWSL    | Unsigned8    |
| 87   | Ox1450    | 234001    | 编码器分频分辨率    | RWSL    | Integer32    |
| 88   | Ox1500    | 234010    | 在线自整定控制    | RWSL    | Integer16    |
| 89   | Ox1510    | 234011    | 电机编码器零位检查    | RWL    | Unsigned8    |
| 90   | Ox1520    | 234012    | PU调整窗口上    | RWS    | Unsigned16    |
| 91   | Ox1530    | 234013    | PU调整窗口下    | RWS    | Unsigned16    |
| 92   | Ox1540    | 234014    | PU调整增益    | RWS    | Unsigned8    |
| 93   | Ox1610    | 250201    | 模拟输入1滤波    | RWSL    | Unsigned16    |
| 94   | Ox1620    | 250202    | 模拟输入1死区    | RWSL    | Integer16    |
| 95   | Ox1630    | 250203    | 模拟输入1偏移    | RWSL    | Integer16    |
| 96   | Ox1640    | 250204    | 模拟输入2滤波    | RWSL    | Unsigned16    |
| 97   | Ox1650    | 250205    | 模拟输入2死区    | RWSL    | Integer16    |
| 98   | Ox1660    | 250206    | 模拟输入2偏移    | RWSL    | Integer16    |
| 99   | Ox1670    | 250207    | 模拟-速度控制    | RWSL    | Unsigned8    |
| 100 | Ox1680    | 250208    | 模拟-力矩控制    | RWSL    | Unsigned8    |
| 101 | Ox1690    | 250209    | 模拟-最大力矩控制    | RWSL    | Unsigned8    |
| 102 | Ox1640    | 250204    | 模拟-速度因数    | RWSL    | Integer32    |
| 103 | Ox1680    | 250208    | 模拟-力矩因数    | RWSL    | Integer16    |
| 104 | Ox1600    | 250200    | 模拟-最大力矩因数    | RWSL    | Integer16    |
| 105 | Ox1600    | 250200    | 模拟-高端死区    | RWSL    | Integer16    |
| 106 | Ox1660    | 250200    | 模拟-低端死区    | RWSL    | Integer16    |
| 107 | Ox1670    | 250207    | 模拟输入1有效数据    | RLTM    | Integer16    |
